Journey ;ID;Code V0;Code VF;Experience;Theme;Service;Epic;Description;User;Priority;WP;Cartography 
Cross Journeys Innovation;181;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-15;ENTREPRENEURSHIP;Collaboration & communication;Online communication;Attend a visio call with the entrepreneurs ;"""Provide a list of available slots 
""";Researchers & PhD students ;V1.1;T.2.6;Booking Meetings 
Cross Journeys Onboarding;182;INFORMATIONV1.1;INFORMATIONV1.1-17;INFORMATION;Community & campus;Online event management;Organize informative sessions for students before Admission starts;Upload the events' information, schedule and host informative sessions to provide an overview of the Ulysseus programs, the application process, admission requirements, a curriculum review.;Admin staff;V1.1;T.6.5;Events Creation
Cross Journeys Onboarding;183;INFORMATIONV1.1;INFORMATIONV1.1-18;INFORMATION;Community & campus;Online event management;Attend an informative session before the admission starts ;Review the available slots, book an informative session slot, receive a confirmation email after I book ;Student;V1.1;T.6.5;Event Registration
Cross Journeys Onboarding;184;REGISTRATIONV1.1;REGISTRATIONV1.1-21;REGISTRATION;Community & campus;Online event management;Schedule welcome session for students (& faculty / admin members in mobility);Upload the events' information, schedule and host informative sessions to welcome students, share information on the city / university ;Admin staff;V1.1;T.6.5;Events Creation
Cross Journeys Onboarding;185;REGISTRATIONV1.1;REGISTRATIONV1.1-22;REGISTRATION;Community & campus;Online event management;Register to a welcome session ;"""Review the available slots, book a session, receive a confirmation email after I book , receive an event reminder 
""";All users;V1.1;T.6.5;Event Registration
Cross Journeys Onboarding;186;REGISTRATIONV1.1;REGISTRATIONV1.1-23;REGISTRATION;Community & campus;Online event management;Attend a virtual welcome session ;Host the welcome session -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;All users;V1.1;T.6.5;Online Event Hosting 
Journey 1 Education;187;GRADUATIONV1.1;GRADUATIONV1.1-4;GRADUATION;Community & campus;Online event management;Communicate the graduation calendar;Upload the graduation schedule ;Admin staff;V1.1;Not assigned;Events Creation
Journey 2 Research Project Lifecycle;188;COLLABORATEV1.1;COLLABORATEV1.1-17;COLLABORATE;Community & campus;Online event management;Create a networking event (Research Lunch) / PhD conferences ;Schedule events :  upload events information (whether the event is virtual or physical), set a maximum of attendees, track the registration.;Researchers & PhD students ;V1.1;T.3.3;Event Registration
Journey 2 Research Project Lifecycle;189;COLLABORATEV1.1;COLLABORATEV1.1-18;COLLABORATE;Community & campus;Online event management;Register for a networking event (Research Lunch) / PhD conferences ;Review the list of events organized for researchers, register, receive a confirmation  ;Researchers & PhD students ;V1.1;T.3.3;Event Registration
Journey 2 Research Project Lifecycle;190;COLLABORATEV1.1;COLLABORATEV1.1-19;COLLABORATE;Community & campus;Online event management;Attend  for a networking event (Research Lunch) / PhD conferences ;host the event -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;Researchers & PhD students ;V1.1;T.3.3;Online Event Hosting 
Cross Journeys Campus Life;191;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-4;CAMPUS LIFE;Community & campus;Online event management;Organize campus-wide events ;"""Schedule events :  upload events information (whether the event is virtual or physical), set a maximum of attendees, track the registration.
""";Admin staff;V1.1;T.2.7;Events Creation
Cross Journeys Campus Life;192;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-5;CAMPUS LIFE;Community & campus;Online event management;Recruit volunteers for an event ;Create opening slots to volunteer for an event, assign timeslots, add a description of the role ;Admin staff;V1.1;T.2.7;Events Creation
Cross Journeys Campus Life;193;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-6;CAMPUS LIFE;Community & campus;Online event management;Register as a volunteer for an event ;Review the open slots and the associated description and register, fill the required information ;Student;V1.1;T.2.7;Event Registration
Cross Journeys Campus Life;194;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-7;CAMPUS LIFE;Community & campus;Online event management;Register for an event;Review the list of events organized across all the campus, register, receive a confirmation  ;All users;V1.1;T.2.7;Event Registration
Cross Journeys Campus Life;195;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-8;CAMPUS LIFE;Community & campus;Online event management;Attend a virtual event ;Join the event -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;Student;V1.1;T.2.7;Online Events hosting 
Cross Journeys Campus Life;196;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-9;CAMPUS LIFE;Community & campus;Online event management;Watch the event replay;Watch the replay of a past event (webinar format);Student;V1.1;T.2.7;Online Events hosting 
Cross Journeys Campus Life;197;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-10;CAMPUS LIFE;Community & campus;Online event management;Manage a live stream event ;Live stream from multiple sources in a multi-camera events, enable multiple speakers located in different locations ;Admin staff;V1.1;T.2.7;Live Events
Cross Journeys Exit Program;198;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-17;EXIT A PROGRAM;Community & campus;Online event management;Organize job fairs or informative sessions ;Schedule events :  upload events information (whether the event is virtual or physical), set a maximum of attendees, track the registration;Admin staff;V1.1;T.6.6;Events Creation
Cross Journeys Exit Program;199;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-18;EXIT A PROGRAM;Community & campus;Online event management;Register to job fairs ;Review the list of events organized across all the campus, register, receive a confirmation  ;Student;V1.1;T.6.6;Event Registration
Cross Journeys Exit Program;200;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-19;EXIT A PROGRAM;Community & campus;Online event management;Attend virtual job fair;host the event -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;Student;V1.1;T.6.6;Online Event Hosting 
Journey 1 Education;201;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-19;LECTURE & TUTO;Learning and teaching;Online exams;Complete assignments ;Complete online quizzes, submit my assignments online to my teacher;Student;V1.1;T.2.2;Assignments Completion
Journey 1 Education;202;EXAMSV1.1;EXAMSV1.1-2;EXAMS;Learning and teaching;Online exams;Schedule and create online exams to test my students remotely ;Schedule the assignment, select a test format (multiple choices, open-ended questions, multi select questions), select an exam existing template, upload the assignment content, create quizzes, apply time limits, select random selection of questions from a question pool ;Professor;V1.1;Not assigned;Assignments Creation
Journey 1 Education;203;EXAMSV1.1;EXAMSV1.1-3;EXAMS;Learning and teaching;Online exams;Share the schedule of exams;Upload the timing of each exam, the instructions for online exams or indicate the exam classroom ;Admin staff;V1.1;Not assigned;Schedule Management 
Journey 1 Education;204;EXAMSV1.1;EXAMSV1.1-4;EXAMS;Learning and teaching;Online exams;Administer proctor online exams ;;Admin staff;V1.1;Not assigned;Proctor Exams
Journey 1 Education;205;EXAMSV1.1;EXAMSV1.1-5;EXAMS;Learning and teaching;Online exams;Complete my exam online;Login for my exam, try out the solution ahead of the workshop, start my exam, review my work and submit ;Student;V1.1;Not assigned;Assignments Completion
Journey 1 Education;206;EXAMSV1.1;EXAMSV1.1-6;EXAMS;Learning and teaching;Online exams;Divide grading of online exams between professors and TA ;Assign open text sections to different reviewers ;Professor;V1.1;Not assigned;Assignments Grading 
Journey 1 Education;207;EXAMSV1.1;EXAMSV1.1-7;EXAMS;Learning and teaching;Online exams;Correct online exams ;Request automatic scoring and grading for multiple choices sections, review open-ended questions sections, assign grades to open-ended questions;Professor;V1.1;Not assigned;Assignments Grading 
Journey 1 Education;208;EXAMSV1.1;EXAMSV1.1-8;EXAMS;Learning and teaching;Online exams;Generate individual and group performance reports ;Generate reports at the course level and at individual level, review the average and the median ;Professor;V1.1;Not assigned;Performance Reporting & Dashboards
Journey 1 Education;209;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-20;LECTURE & TUTO;Learning and teaching;Online exams ;Receive a certificate upon course completion ;;All users;V1.1;T.5.2;Certification Management 
Journey 1 Education;210;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-8;GROUP PROJECTS;Learning and teaching;Online exams ;Complete peers' evaluation;Rate the involvement of each team member, provide comments, submit and share with my professor;Student;V1.1;T.2.2;Peers Evaluation
Journey 1 Education;211;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-9;GROUP PROJECTS;Resources management;Open access database;Research scientific publications across the Alliance to enrich my work;Run a search of publications and articles based on a set of criteria ;Student;V1.1;T.7.9;Publications Search
Journey 2 Research Project Lifecycle;212;RESEARCHV1.1;RESEARCHV1.1-3;RESEARCH;Resources management;Open access database;Search publications through the open database of Ulysseus;The users should be able to search by DOI, structure reference, faculty…;Researchers & PhD students ;V1.1;T.7.9;Publications Search
Journey 2 Research Project Lifecycle;213;RESEARCHV1.1;RESEARCHV1.1-4;RESEARCH;Resources management;Open access database;Access a publication;Select a publication, preview, download.;Researchers & PhD students ;V1.1;T.7.9;Publications Access
Journey 2 Research Project Lifecycle;214;RESEARCHV1.1;RESEARCHV1.1-5;RESEARCH;Resources management;Open access database;Identify where the publication is available;See the reference of the publication and access the link to the platform where the publication is available (web of science, Scopus);Researchers & PhD students ;V1.1;T.7.9;
Journey 2 Research Project Lifecycle;215;PUBLISHV1.1;PUBLISHV1.1-4;PUBLISH;Resources management;Open access database;Create a referencing of publications available on other platforms;"""Crawl other open access databases to collect publication's metadata and create a referencing 
The data should be transferred to a pipeline that will clean it and value it (deduplication...)""";System;V1.1;T.7.9;Referencing of External Publications
Journey 2 Research Project Lifecycle;216;PUBLISHV1.1;PUBLISHV1.1-5;PUBLISH;Resources management;Open access database;Publish my article on Ulysseus shared repository platform;Upload my article;Researchers & PhD students ;V1.1;T.7.9;Internal Publications Repository  
Cross Journeys Onboarding;217;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-28;INTERACT WITH THE ECOSYSTEM;Community & campus;Personal page;Receive all my e-mails in one place (email, messages on my intranet page);Receive all my notifications in one place (email, messages on my intranet page);All users;V1.1;T.2.2;Email
Cross Journeys Onboarding;218;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-29;INTERACT WITH THE ECOSYSTEM;Community & campus;Personal page;Get notified when I receive an e-mail;;All users;V1.1;T.2.2;Notification Management 
Cross Journeys Onboarding;219;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-30;INTERACT WITH THE ECOSYSTEM;Community & campus;Personal page;Send e-mails;;All users;V1.1;T.2.2;Email
Cross Journeys Onboarding;220;REGISTRATIONV1.1;REGISTRATIONV1.1-24;REGISTRATION;Community & campus;Personal page;Access my calendar for the semester;"""See my list of classes, their respective timings, the assigned classroom 
See my appointments (meetings with a with a student, booking of a resource…)
""";Professor;V1.1;T.2.2;Calendar Management 
Cross Journeys Onboarding;221;REGISTRATIONV1.1;REGISTRATIONV1.1-25;REGISTRATION;Community & campus;Personal page;Access my calendar for the semester;"""See my list of classes, their respective timings, the assigned classroom 
See my appointments (meetings with a with a prof, booking of a resource…)
""";Student;V1.1;T.2.2;Calendar Management 
Journey 1 Education;222;EXAMSV1.1;EXAMSV1.1-9;EXAMS;Community & campus;Personal page;View my exams schedule ;;Student;V1.1;T.2.2;Calendar Management 
Journey 1 Education;223;EXAMSV1.1;EXAMSV1.1-10;EXAMS;Community & campus;Personal page;Review my transcripts and my cumulative GPA ;Check my grades for each class and my overall ranking ;Student;V1.1;T.2.2;Performance Reporting 
Journey 1 Education;224;EXAMSV1.1;EXAMSV1.1-11;EXAMS;Community & campus;Personal page;Review the list of classes completed and the associated grades;;Student;V1.1;T.2.2;Performance Reporting 
Cross Journeys Ecosystem Interactions;225;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-31;INTERACT WITH THE ECOSYSTEM;Community & campus;Personal page;Map / assign a mentor to a mentee;;Admin staff;V1.1;T.4.2;Profile Management 
Cross Journeys Ecosystem Interactions;226;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-32;INTERACT WITH THE ECOSYSTEM;Community & campus;Personal page;Map / assign a mentee to a mentor;;Admin staff;V1.1;T.4.2;Profile Management 
Cross Journeys Ecosystem Interactions;227;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-33;INTERACT WITH THE ECOSYSTEM;Community & campus;Personal page;Manage my internal profile online ;Update my information stored in my profile (e.g. mobile number, profile picture);All users;V1.1;T.2.2;Profile Management 
Cross Journeys Innovation;228;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-16;ENTREPRENEURSHIP;Community & campus;Personal page;Create a profile for the external entrepreneurs who have been enrolled in the incubator ;;Admin staff;V1.1;T.2.6;Profile Management 
Journey 2 Research Project Lifecycle;229;RESEARCHV1.1;RESEARCHV1.1-6;RESEARCH;Resources management;Project Management ;Create a project ID card ;Present the project scope, import the list of work packages and subtasks, the underlying project plan and financing model, the sources of funding's, the names of the researchers;Researchers;V1.1;T.1;Project Planning
Journey 2 Research Project Lifecycle;230;RESEARCHV1.1;RESEARCHV1.1-7;RESEARCH;Resources management;Project Management ;Administer the project ID cards ;Review existing project ID cards, delete old and expired project ID cards, validate new project ID cards ;Admin staff;V1.1;T.1;Project Planning
Journey 2 Research Project Lifecycle;231;RESEARCHV1.1;RESEARCHV1.1-8;RESEARCH;Resources management;Project Management ;Assign and coordinate work among the teams;Assign tasks to a researchers, create, update and delete dependencies among tasks;Researchers;V1.1;T.1;Work Allocation
Journey 2 Research Project Lifecycle;232;RESEARCHV1.1;RESEARCHV1.1-9;RESEARCH;Resources management;Project Management ;Manage the project progress ;Update the completion level against the tasks and work packages, comment on the progress of each task and work package, update milestones, trigger alerts when an action is delayed;Researchers;V1.1;T.1;Project Reporting 
Journey 2 Research Project Lifecycle;233;RESEARCHV1.1;RESEARCHV1.1-10;RESEARCH;Resources management;Project Management ;Review the workload allocated to each team member;Develop a view of the assigned tasks by researcher ;Researchers;V1.1;T.1;Resources Capacity & Management 
Journey 2 Research Project Lifecycle;234;RESEARCHV1.1;RESEARCHV1.1-11;RESEARCH;Resources management;Project Management ;Record project risks ;Create new risks, add description, assign risk level ;Researchers;V1.1;T.1;Project Reporting 
Journey 2 Research Project Lifecycle;235;RESEARCHV1.1;RESEARCHV1.1-12;RESEARCH;Resources management;Project Management ;Generate reports ;Project status reports, risk reports, variance reports;Researchers;V1.1;T.1;Reports Generation
Journey 2 Research Project Lifecycle;236;RESEARCHV1.1;RESEARCHV1.1-13;RESEARCH;Resources management;Project Management ;Track the status of the ongoing projects;Review the project ID card that includes the names of the participants (researchers and contractual), the sources of funding's, the outstanding balance, starting date;Admin staff;V1.1;T.1;Project Reporting 
Journey 2 Research Project Lifecycle;237;RESEARCHV1.1;RESEARCHV1.1-14;RESEARCH;Resources management;Project Management ;Visualize project progress ;Dashboards and visualization tools to review the completion level of each task  / WP  and at project level, flag any delay, outstanding actions ;Researchers;V1.1;T.1;Visualization & Performance Dashboards
Journey 2 Research Project Lifecycle;238;RESEARCHV1.1;RESEARCHV1.1-15;RESEARCH;Resources management;Project Management ;Trigger alerts for project events ;Trigger alerts for past due actions, upcoming actions, modify notifications settings ;Researchers;V1.1;T.1;Notification Management 
Journey 2 Research Project Lifecycle;239;RESEARCHV1.1;RESEARCHV1.1-16;RESEARCH;Resources management;Project Management ;Initiate a purchase request ;Complete pre-fill questionnaire that would define the approval workflow, attached required document(s), review the request, validate the request ;Researchers;V1.1;T.1;Project Expenses Management
Journey 2 Research Project Lifecycle;240;RESEARCHV1.1;RESEARCHV1.1-17;RESEARCH;Resources management;Project Management ;Track the status of my purchase request ;Review the status of my request, get notified at each approval stage, get notified if a document / information is missing ;Researchers;V1.1;T.1;Project Expenses Management
Journey 2 Research Project Lifecycle;241;RESEARCHV1.1;RESEARCHV1.1-18;RESEARCH;Resources management;Project Management ;Validate purchase requests ;Receive notifications when a purchase request is created, review the request, approve the request , send back to the initiator if an information is missing, decline the request ;Admin staff;V1.1;T.1;Project Expenses Management
Journey 2 Research Project Lifecycle;242;RESEARCHV1.1;RESEARCHV1.1-19;RESEARCH;Resources management;Project Management ;Create a new project expense ;Record projects expenses, map the expenses to the different work packages and tasks;Researchers;V1.1;T.1;Project Expenses Management
Journey 2 Research Project Lifecycle;243;RESEARCHV1.1;RESEARCHV1.1-20;RESEARCH;Resources management;Project Management ;Tack my project expenses;Review the outstanding balances at work package and task level,;Researchers;V1.1;T.1;Project Budget Management 
Journey 2 Research Project Lifecycle;244;RESEARCHV1.1;RESEARCHV1.1-21;RESEARCH;Resources management;Project Management ;Upload financial supporting documents;Upload, save and organize receipts or any supporting documents  in different formats ;Researchers;V1.1;T.1;Shared documents repository 
Cross Journeys Innovation;245;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-17;ENTREPRENEURSHIP;Resources management;Project Management ;Create a project page and provide access to the entrepreneur(s);;Admin staff;V1.1;T.2.6;Project Access Management
Cross Journeys Innovation;246;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-18;ENTREPRENEURSHIP;Resources management;Project Management ;Create my project plan ;;Entrepreneur;V1.1;T.2.6;Project Planning
Journey 2 Research Project Lifecycle;247;RESEARCHV1.1;RESEARCHV1.1-22;RESEARCH;Support;Research Support Desk  ;Chat with the research support desk;;Researchers;V1.1;T.3.3;Support Chat
Journey 2 Research Project Lifecycle;248;RESEARCHV1.1;RESEARCHV1.1-23;RESEARCH;Support;Research Support Desk  ;Answer research requests on the chat;;Admin staff;V1.1;T.3.3;Support Chat
Journey 2 Research Project Lifecycle;249;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-10;PROJECT FINANCING;Support;Research Support Desk  ;Request university's administration support to develop the research proposal ;Raise a request to request support from the University administration, fill information on the proposal ;Researchers;V1.1;T.3.3;Ticket management
Journey 2 Research Project Lifecycle;250;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-11;PROJECT FINANCING;Support;Research Support Desk  ;Support the development and the submission of Ulysseus research proposals ;Receive a notification, reply to the query, assign the ticket to the key person;Admin staff;V1.1;T.3.3;Ticket management
Journey 2 Research Project Lifecycle;251;RESEARCHV1.1;RESEARCHV1.1-24;RESEARCH;Support;Research Support Desk  ;Request support on a research project ;Raise a request to request support from the University administration, fill information on the project, define a level of criticality;Researchers;V1.1;Not assigned;Ticket management
Journey 2 Research Project Lifecycle;252;RESEARCHV1.1;RESEARCHV1.1-25;RESEARCH;Support;Research Support Desk  ;Manage my request for support on a research project ;View the status of my query, get a notification when my query status is updated ;Researchers;V1.1;Not assigned;Ticket management
Journey 2 Research Project Lifecycle;253;RESEARCHV1.1;RESEARCHV1.1-26;RESEARCH;Support;Research Support Desk  ;Process the requests ;View the status of my query, get a notification when my query status is updated ;Admin staff;V1.1;Not assigned;Ticket management
Journey 2 Research Project Lifecycle;254;RESEARCHV1.1;RESEARCHV1.1-27;RESEARCH;Resources management;Scientific facilities sharing ;Update the list of equipment available across the university;;Admin staff;V1.1;T.2.2;Equipment's List Repository
Journey 2 Research Project Lifecycle;255;RESEARCHV1.1;RESEARCHV1.1-28;RESEARCH;Resources management;Scientific facilities sharing ;Define the booking rules for each equipment ;Set rules for lab equipment booking times, durations, cancellations and approvals. ;Admin staff;V1.1;T.2.2;Booking Rules Configuration
Journey 2 Research Project Lifecycle;256;RESEARCHV1.1;RESEARCHV1.1-29;RESEARCH;Resources management;Scientific facilities sharing ;Review the technical equipment available across the ecosystem ;Browse and search through the list of technical equipment, read the description of the equipment, the price, the university, the name of the contact person ;Researchers & PhD students ;V1.1;T.2.2;Search function
Journey 2 Research Project Lifecycle;257;RESEARCHV1.1;RESEARCHV1.1-30;RESEARCH;Resources management;Scientific facilities sharing ;Review the available slots for an equipment;;Researchers & PhD students ;V1.1;T.2.2;Visualization of Availability 
Journey 2 Research Project Lifecycle;258;RESEARCHV1.1;RESEARCHV1.1-31;RESEARCH;Resources management;Scientific facilities sharing ;Book an equipment ;Book an equipment, receive a confirmation email after I book ;Researchers & PhD students ;V1.1;T.2.2;Booking Management
Journey 2 Research Project Lifecycle;259;RESEARCHV1.1;RESEARCHV1.1-32;RESEARCH;Resources management;Scientific facilities sharing ;Update my calendar with the reservation ;;Researchers & PhD students ;V1.1;T.2.2;Calendar Integration
Journey 2 Research Project Lifecycle;260;RESEARCHV1.1;RESEARCHV1.1-33;RESEARCH;Resources management;Scientific facilities sharing ;Run your experiment remotely;Share your experiment script and receive the results of the experiment;Researchers & PhD students ;V1.1;T.2.2;Lab Access Management
Journey 2 Research Project Lifecycle;261;RESEARCHV1.1;RESEARCHV1.1-34;RESEARCH;Resources management;Scientific facilities sharing ;Generate booking reports ;Overview of all scientific equipment bookings, the name of the individual / institution who has booked it and the associated tariff if applicable ;Admin staff;V1.1;T.2.2;Booking Reports
Cross Journeys Ecosystem Interactions;262;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-34;INTERACT WITH THE ECOSYSTEM;Resources management;Scientific facilities sharing ;Book universities' resources ;Review the list of available resources (i.e. meeting rooms, labs, equipment), book the resources, receive a confirmation;All users;V1.1;T.2.2;Equipment's List Repository
Journey 2 Research Project Lifecycle;263;RESEARCHV1.1;RESEARCHV1.1-35;RESEARCH;Resources management;Survey Management ;Create a survey;Access a library of survey templates, customize the survey, circulate the survey through a community of practice or the announcement board targeting the right audience ;Researchers & PhD students ;V1.1;Not assigned;Survey Maker
Journey 2 Research Project Lifecycle;264;RESEARCHV1.1;RESEARCHV1.1-36;RESEARCH;Resources management;Survey Management ;Share my survey;Generate a mailing list and share my survey with the targeted people ;Researchers & PhD students ;V1.1;Not assigned;Mailing List
Journey 2 Research Project Lifecycle;265;RESEARCHV1.1;RESEARCHV1.1-37;RESEARCH;Resources management;Survey Management ;Create dashboard from surveys' responses ;Create dashboard to visualize the surveys' responses ;Researchers & PhD students ;V1.1;Not assigned;Data Visualization
Journey 2 Research Project Lifecycle;266;RESEARCHV1.1;RESEARCHV1.1-38;RESEARCH;Resources management;Survey Management ;Compile and download survey's response ;Download the files in csv format, pdf format ;Researchers & PhD students ;V1.1;Not assigned;Survey Results Management
Journey 2 Research Project Lifecycle;267;COLLABORATEV1.1;COLLABORATEV1.1-20;COLLABORATE;Resources management;Survey Management ;Answer a survey ;Register with your Ulysseus ID/ fill it anonymously, save your answers ;Researchers & PhD students ;V1.1;Not assigned;Survey Completion
Cross Journeys Innovation;268;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-19;ENTREPRENEURSHIP;Resources management;Survey Management ;Run online experiences with external participants ;;Researchers & PhD students ;V1.1;T.2.6;Survey Completion
Cross Journeys Onboarding;269;INFORMATIONV1.1;INFORMATIONV1.1-19;INFORMATION;Support;Technical support desk ;Access the catalogue of services;Review the list of services, information about each services;Student;V1.1;T.2.2;Catalog of service
Cross Journeys Onboarding;270;INFORMATIONV1.1;INFORMATIONV1.1-20;INFORMATION;Support;Technical support desk ;Chat with the technical support desk;;Student;V1.1;T.2.2;Support Chat
Cross Journeys Onboarding;271;INFORMATIONV1.1;INFORMATIONV1.1-21;INFORMATION;Support;Technical support desk ;Answer technical requests on the chat;;Admin staff;V1.1;T.2.2;Support Chat
Cross Journeys Onboarding;272;INFORMATIONV1.1;INFORMATIONV1.1-22;INFORMATION;Support;Technical support desk ;Define the planning of collaborative support;"""Upload / Update the planning :
in function of the day,  the support will be operated by a specific university""";Admin staff;V1.1;T.2.2;
Cross Journeys Onboarding;273;INFORMATIONV1.1;INFORMATIONV1.1-23;INFORMATION;Support;Technical support desk ;Assign the tickets to the university according to the planning ;Assign tickets based on the available officers available that day  ;System;V1.1;T.2.2;
Cross Journeys Onboarding;274;INFORMATIONV1.1;INFORMATIONV1.1-24;INFORMATION;Support;Technical support desk ;Raise a technical request online;Select the nature of my request, detail my request, submit my request ;Student;V1.1;T.2.2;Ticket management
Cross Journeys Onboarding;275;INFORMATIONV1.1;INFORMATIONV1.1-25;INFORMATION;Support;Technical support desk ;Manage my technical requests online;Review the status of any technical request raised online (e.g. I cannot find my courses materials);Student;V1.1;T.2.2;Ticket management
Cross Journeys Onboarding;276;INFORMATIONV1.1;INFORMATIONV1.1-26;INFORMATION;Support;Technical support desk ;Process the requests;;Admin staff;V1.1;T.2.2;Ticket management
Cross Journeys Onboarding;277;INFORMATIONV1.1;INFORMATIONV1.1-27;INFORMATION;Support;Welcome Center Support desk ;Chat with the Welcome center Service Desk;;Student;V1.1;T.6.5;Support Chat
Cross Journeys Onboarding;278;INFORMATIONV1.1;INFORMATIONV1.1-28;INFORMATION;Support;Welcome Center Support desk ;Answer Welcome center requests on the chat;;Admin staff;V1.1;T.6.5;Support Chat
Cross Journeys Onboarding;279;REGISTRATIONV1.1;REGISTRATIONV1.1-26;REGISTRATION;Support;Welcome Center Support desk ;Raise a request regarding the Welcome Program ;Select the nature of my request (e.g. housing, logistics, visa) detail my request, submit my request ;Student;V1.1;T.6.5;Ticket management
Cross Journeys Onboarding;280;REGISTRATIONV1.1;REGISTRATIONV1.1-27;REGISTRATION;Support;Welcome Center Support desk ;Manage my administrative requests online ;Review the status of any administrative request raised online (e.g. change in learning agreement, grant status);Student;V1.1;T.6.5;Ticket management
Cross Journeys Onboarding;281;REGISTRATIONV1.1;REGISTRATIONV1.1-28;REGISTRATION;Support;Welcome Center Support desk ;Process the requests regarding the Welcome Program ;;Admin staff;V1.1;T.6.5;Ticket management
